year,country,count
2000,Albania,2
2000,Bosnia-Herzegovina,6
2000,Bulgaria,2
2000,Croatia,2
2000,Kosovo,60
2000,Latvia,3
2000,Macedonia,3
2000,Moldova,1
2000,Russia,138
2000,Slovak Republic,1
2000,Slovenia,1
2000,Ukraine,1
2000,Yugoslavia,14
2000,Cyprus,2
2000,France,28
2000,Germany,8
2000,Greece,28
2000,Italy,8
2000,Netherlands,1
2000,Spain,112
2000,Sweden,1
2000,Switzerland,4
2000,United Kingdom,61
2001,Albania,1
2001,Belarus,1
2001,Bosnia-Herzegovina,2
2001,Bulgaria,1
2001,Croatia,3
2001,Czech Republic,1
2001,Estonia,1
2001,Hungary,1
2001,Kosovo,17
2001,Macedonia,67
2001,Montenegro,1
2001,Poland,1
2001,Russia,135
2001,Yugoslavia,20
2001,Cyprus,1
2001,France,21
2001,Germany,8
2001,Greece,14
2001,Ireland,2
2001,Italy,11
2001,Netherlands,1
2001,Norway,1
2001,Spain,79
2001,Switzerland,2
2001,United Kingdom,94
2002,Bosnia-Herzegovina,3
2002,Bulgaria,1
2002,Kosovo,5
2002,Macedonia,8
2002,Russia,89
2002,Ukraine,3
2002,Yugoslavia,3
2002,Belgium,3
2002,France,32
2002,Germany,3
2002,Greece,11
2002,Italy,7
2002,Netherlands,2
2002,Spain,41
2002,United Kingdom,21
2003,Albania,1
2003,Bosnia-Herzegovina,1
2003,Czech Republic,1
2003,Kosovo,9
2003,Macedonia,5
2003,Russia,76
2003,Serbia-Montenegro,6
2003,Ukraine,1
2003,Belgium,8
2003,France,34
2003,Germany,2
2003,Greece,12
2003,Ireland,1
2003,Italy,15
2003,Netherlands,3
2003,Norway,1
2003,Spain,21
2003,Switzerland,1
2003,United Kingdom,23
2004,Kosovo,1
2004,Russia,44
2004,Serbia-Montenegro,1
2004,Cyprus,1
2004,France,11
2004,Germany,3
2004,Greece,4
2004,Italy,3
2004,Netherlands,1
2004,Spain,31
2004,United Kingdom,5
2005,Bosnia-Herzegovina,1
2005,Croatia,1
2005,Kosovo,8
2005,Russia,64
2005,Serbia-Montenegro,2
2005,France,33
2005,Germany,3
2005,Greece,6
2005,Italy,6
2005,Spain,24
2005,Sweden,3
2005,United Kingdom,29
2006,Belarus,1
2006,Bosnia-Herzegovina,1
2006,Kosovo,6
2006,Macedonia,3
2006,Moldova,1
2006,Russia,56
2006,Serbia-Montenegro,2
2006,Austria,1
2006,France,34
2006,Germany,4
2006,Greece,23
2006,Ireland,1
2006,Italy,4
2006,Norway,1
2006,Spain,23
2006,Sweden,1
2006,United Kingdom,6
2007,Bosnia-Herzegovina,2
2007,Kosovo,5
2007,Latvia,1
2007,Macedonia,1
2007,Montenegro,1
2007,Russia,51
2007,Ukraine,1
2007,Austria,1
2007,Belgium,1
2007,Cyprus,1
2007,Finland,1
2007,France,16
2007,Germany,3
2007,Greece,15
2007,Ireland,1
2007,Spain,11
2007,Switzerland,2
2007,United Kingdom,20
2008,Belarus,1
2008,Bosnia-Herzegovina,4
2008,Bulgaria,2
2008,Croatia,2
2008,Czech Republic,2
2008,Hungary,2
2008,Kosovo,11
2008,Macedonia,9
2008,Romania,1
2008,Russia,170
2008,Serbia,4
2008,Ukraine,1
2008,Austria,7
2008,Denmark,1
2008,Finland,1
2008,France,13
2008,Germany,3
2008,Greece,53
2008,Ireland,5
2008,Italy,2
2008,Netherlands,1
2008,Spain,37
2008,Sweden,1
2008,United Kingdom,39
2009,Albania,1
2009,Bosnia-Herzegovina,1
2009,Croatia,1
2009,Czech Republic,1
2009,Hungary,1
2009,Kosovo,1
2009,Macedonia,1
2009,Moldova,1
2009,Russia,152
2009,Serbia,3
2009,Ukraine,2
2009,Austria,3
2009,Belgium,1
2009,France,9
2009,Germany,4
2009,Greece,115
2009,Italy,4
2009,Netherlands,1
2009,Spain,21
2009,Sweden,1
2009,United Kingdom,23
2010,Belarus,2
2010,Bosnia-Herzegovina,1
2010,Kosovo,1
2010,Poland,1
2010,Russia,251
2010,Serbia,1
2010,Ukraine,4
2010,Denmark,1
2010,France,3
2010,Germany,1
2010,Greece,49
2010,Ireland,4
2010,Italy,10
2010,Netherlands,1
2010,Norway,1
2010,Spain,3
2010,Sweden,3
2010,United Kingdom,57
2011,Belarus,1
2011,Bosnia-Herzegovina,1
2011,Bulgaria,2
2011,Czech Republic,1
2011,Estonia,1
2011,Kosovo,1
2011,Russia,188
2011,Ukraine,3
2011,Austria,1
2011,France,8
2011,Germany,8
2011,Greece,11
2011,Ireland,4
2011,Italy,5
2011,Netherlands,2
2011,Norway,3
2011,Portugal,2
2011,Sweden,1
2011,Switzerland,3
2011,United Kingdom,47
2012,Belarus,3
2012,Bulgaria,2
2012,Kosovo,4
2012,Macedonia,1
2012,Moldova,1
2012,Russia,151
2012,Serbia,3
2012,Ukraine,8
2012,Belgium,1
2012,Cyprus,1
2012,France,66
2012,Germany,5
2012,Greece,22
2012,Iceland,1
2012,Ireland,29
2012,Italy,10
2012,Spain,1
2012,Sweden,2
2012,United Kingdom,55
2013,Albania,1
2013,Bosnia-Herzegovina,1
2013,Bulgaria,3
2013,Croatia,2
2013,Czech Republic,1
2013,Kosovo,6
2013,Montenegro,2
2013,Russia,144
2013,Ukraine,5
2013,Austria,1
2013,Cyprus,9
2013,Denmark,1
2013,France,18
2013,Greece,54
2013,Ireland,27
2013,Italy,7
2013,Spain,5
2013,Switzerland,2
2013,United Kingdom,137
2014,Albania,2
2014,Bosnia-Herzegovina,3
2014,Bulgaria,1
2014,Czech Republic,5
2014,Hungary,1
2014,Kosovo,4
2014,Macedonia,3
2014,Russia,48
2014,Ukraine,895
2014,Belgium,2
2014,Cyprus,5
2014,France,14
2014,Germany,13
2014,Greece,26
2014,Iceland,1
2014,Ireland,33
2014,Italy,7
2014,Malta,1
2014,Netherlands,1
2014,Spain,4
2014,Sweden,5
2014,United Kingdom,103
2015,Albania,4
2015,Bosnia-Herzegovina,6
2015,Bulgaria,2
2015,Czech Republic,4
2015,Estonia,2
2015,Hungary,1
2015,Kosovo,2
2015,Macedonia,4
2015,Montenegro,1
2015,Russia,21
2015,Ukraine,637
2015,Cyprus,3
2015,Denmark,4
2015,Finland,9
2015,France,37
2015,Germany,65
2015,Greece,31
2015,Ireland,28
2015,Italy,5
2015,Malta,1
2015,Netherlands,3
2015,Spain,1
2015,Sweden,32
2015,United Kingdom,114
2016,Albania,2
2016,Bulgaria,1
2016,Czech Republic,2
2016,Hungary,1
2016,Kosovo,8
2016,Moldova,1
2016,Poland,2
2016,Russia,55
2016,Slovak Republic,1
2016,Ukraine,61
2016,Austria,3
2016,Belgium,6
2016,Cyprus,2
2016,Denmark,1
2016,Finland,3
2016,France,26
2016,Germany,44
2016,Greece,31
2016,Ireland,15
2016,Italy,11
2016,Netherlands,6
2016,Spain,3
2016,Sweden,16
2016,Switzerland,1
2016,United Kingdom,105
2017,Albania,1
2017,Czech Republic,3
2017,Kosovo,8
2017,Latvia,1
2017,Macedonia,1
2017,Poland,1
2017,Russia,33
2017,Serbia,1
2017,Ukraine,61
2017,Austria,1
2017,Belgium,3
2017,Finland,2
2017,France,41
2017,Germany,27
2017,Greece,43
2017,Ireland,17
2017,Italy,8
2017,Malta,3
2017,Netherlands,1
2017,Norway,1
2017,Spain,4
2017,Sweden,18
2017,United Kingdom,122
